address,city,availability_status,latitude,longitude,station_name,pincode,pricing,state,charger_type_code,charger_type_details
"Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001",Delhi,1,28.630256,77.225668,EESL Barakhamba,110001,free,Delhi,0,AC Charger (Slow)
"Opposite HDFC Bank, M- Block, , Connaught Place, New Delhi- 110001",Delhi,1,28.632973,77.222937,"EESL Block M, CP",110001,free,Delhi,0,AC Charger (Slow)
"Outside Oriental Bank, Radial Road No. 7, Block M, Connaught Place, New Delhi- 110001",Delhi,1,28.631584,77.2219,EESL Oriental Bank,110001,free,Delhi,0,AC Charger (Slow)
"NDMC Parking, Near Ferns n Petals, Near BPCL Petrol Pump, C Block RR5, Connaught Place, New Delhi- 110001",Delhi,1,28.634422,77.220852,EESL Ferns n Petals,110001,free,Delhi,0,AC Charger (Slow)
"NDMC Parking, Near Croma, D Block RR5, Opposite BPCL Petrol Pump, Connaught Place, New Delhi- 110001",Delhi,1,28.634388,77.221038,EESL Croma,110001,free,Delhi,0,AC Charger (Slow)
"Next to PVR Plaza, H Block RR4, Connaught Place, New Delhi- 110001",Delhi,1,28.63491,77.219522,EESL PVR Plaza,110001,free,Delhi,0,AC Charger (Slow)
"Near Woodland Showroom, Block B, Inner Circle, Connaught Place, New Delhi 110001",Delhi,1,28.634371,77.2195,EESL Block B,110001,free,Delhi,0,AC Charger (Slow)
"Opposite HP Petrol Pump, Block E, Middle Circle, Connaught Place, New Delhi- 110001",Delhi,1,28.631584,77.2219,EESL HP Petrol Pump,110001,free,Delhi,0,AC Charger (Slow)
"Outside Standard Chartered Bank, Sardar Patel Bhawan, Sansad Marg, New Delhi- 110001",Delhi,1,28.624419,77.213718,EESL Sansad Marg,110001,free,Delhi,0,AC Charger (Slow)
"Outside Iqbal Bros., G1, Block G, Connaught Place, New Delhi- 110001",Delhi,1,28.633841,77.217664,EESL Iqbal Bros.,110001,free,Delhi,0,AC Charger (Slow)
"Outside Bharat Sanchar Bhawan, Ashoke Road, Janpath, New Delhi- 110001",Delhi,1,28.621724,77.219286,EESL Bharat Sanchar Bhawan,110001,free,Delhi,0,AC Charger (Slow)
"FICCI, FICCI Chowk, Mandi House, Todermal Road Area, Mandi House, New Delhi110001",Delhi,1,28.626695,77.231943,EESL FICCI Chowk,110001,free,Delhi,0,AC Charger (Slow)
"Press Club of India, 1, Raisina Road, Windsor Place, New Delhi110001",Delhi,1,28.617517,77.213919,EESL Press Club,110001,free,Delhi,0,AC Charger (Slow)
"Near Snow White, Block D, Inner Circle, Connaught Place, New Delhi 110001",Delhi,1,28.63388,77.221078,EESL Snow White,110001,free,Delhi,0,AC Charger (Slow)
"Outside Van Heusen Showroom, Block C, Inner Circle, Connaught Place, New Delhi 110001",Delhi,1,28.634137,77.220382,EESL Van Heusen,110001,free,Delhi,0,AC Charger (Slow)
"Outside Devinder Collections, Shankar Market, Connaught Place, New Delhi- 110001",Delhi,1,28.633733,77.22353,EESL Shanker Market,110001,free,Delhi,0,AC Charger (Slow)
"Akashvani Bhawan, Sansad Marg, New Delhi 110001",Delhi,1,28.622656,77.210994,EESL Akashwani Bhawan,110001,free,Delhi,0,AC Charger (Slow)
"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",Delhi,1,28.6182604,77.2125699,EESL Chelmsford Club,110001,free,Delhi,0,AC Charger (Slow)
"Yashwant Place, Chanakyapuri, New Delhi- 110021",Delhi,1,28.585492,77.191634,EESL Yashwant Place,110021,free,Delhi,0,AC Charger (Slow)
"Opposite IVORY Mart, F Block, Inner Circle, Connaught Place, New Delhi 110001",Delhi,1,28.63388,77.221078,EESL IVORY Mart,110001,free,Delhi,0,AC Charger (Slow)
"Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhi- 110021",Delhi,1,28.585298,77.191008,EESL Yashwant Place Market,110021,free,Delhi,0,AC Charger (Slow)
"Laxmi Bai Market, Safderjung Flyover, New Delhi",Delhi,1,28.577999,77.209521,EESL Laxmi Bai Market,110023,free,Delhi,0,AC Charger (Slow)
"Near ICICI Bank/Metro Gate No. 7 & 8, Block A, Inner Circle, Connaught Place, New Delhi 110001",Delhi,1,28.63242,77.218068,EESL Block A,110001,free,Delhi,0,AC Charger (Slow)
"Sarojini Nagar Market, Sarojini Nagar, New Delhi- 110023",Delhi,1,28.577259,77.19692,EESL Sarojini Nagar Market,110023,free,Delhi,0,AC Charger (Slow)
"Gopal Das Building, Barakhamba Road, Connaught Lane, Barakhamba, New Delhi110001",Delhi,1,28.631121,77.221654,EESL Gopal Das Building,110001,free,Delhi,0,AC Charger (Slow)
"Outside Jain Bhawan, 12 Shaheed Bhagat Singh Marg, Gole Market, New Delhi- 110001",Delhi,1,28.633614,77.207691,EESL Jain Bhawan,110001,free,Delhi,0,AC Charger (Slow)
"Side of Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003",Delhi,1,28.599477,77.215583,EESL Hotel Claridges,110003,free,Delhi,0,AC Charger (Slow)
"Indian Coffee House, Connaught Place, New Delhi",Delhi,1,28.6316372,77.2158857,EESL Indian Coffee House,110003,free,Delhi,0,AC Charger (Slow)
"Khan Market, Rabindra Nagar, New Delhi- 110003",Delhi,1,28.600324,77.226883,EESL Khan Market,110003,free,Delhi,0,AC Charger (Slow)
"Charak Palika Hospital, C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021",Delhi,1,28.585367,77.17755,EESL Charak Palika Hospital,110021,free,Delhi,0,AC Charger (Slow)
"Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003",Delhi,1,28.601201,77.215975,EESL Hotel Claridges 1,110003,free,Delhi,0,AC Charger (Slow)
"Janpath Guest House, Connaught Place, New Delhi",Delhi,1,28.628528,77.21946,EESL Janpath Guest House,110001,free,Delhi,0,AC Charger (Slow)
"Outside UCO Bank, Block H, RR3, Connaught Place, New Delhi",Delhi,1,28.63407,77.217683,EESL Block H,110001,free,Delhi,0,AC Charger (Slow)
"Opposite South Indian Bank, Block E, RR6, Middle Circle, Connaught Place, New Delhi- 110001",Delhi,1,28.63363,77.221949,EESL KTM,110001,free,Delhi,0,AC Charger (Slow)
"PSOI Club, Chanakyapuri, New Delhi 110021",Delhi,1,28.586638,77.193352,EESL PSOI Club,110021,free,Delhi,0,AC Charger (Slow)
"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003",Delhi,1,28.590402,77.220192,EESL Lodhi Garden,110003,free,Delhi,0,AC Charger (Slow)
"Talkatora Stadium, President's Estate, New Delhi110004",Delhi,1,28.622004,77.194962,EESL Talkatora Stadium,110004,free,Delhi,0,AC Charger (Slow)
"DLF Building, Sansad Marg, Janpath, Connaught Place, New Delhi 110001.",Delhi,1,28.6285,77.217046,,110004,free,Delhi,0,AC Charger (Slow)
"Talkatora Garden, President's Estate, New Delhi110004",Delhi,1,28.6235305,77.1956795,EESL Talkatora Garden,110004,free,Delhi,0,AC Charger (Slow)
"NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023",Delhi,1,28.572793,77.208662,EESL Delhi Haat,110023,free,Delhi,0,AC Charger (Slow)
"Palika Maternity Hospital, Block 11, Lodhi Colony, Near Khanna Market, New Delhi 110003",Delhi,1,28.583518,77.222057,EESL Palika Maternity Hospital,110003,free,Delhi,0,AC Charger (Slow)
"Noida authority parking, near B-14, sector 2 Noida",Noida,1,28.5842756,77.3137535,EESL Noida Authority Parking Sector 2 Noida,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"In front of marie gold exports ltd, A block, sector-64, Noida ",Noida,1,28.36374688,77.27384312,EESL Marie Gold Exports Block A Sector 64 Noida,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"In front of Hexagon pvt ltd, sector-65, Noida ",Noida,1,28.6132,77.3814,EESL Hexagon Sector 65 Noida,201301,free,Uttar Pradesh,0,AC Charger (Slow)
"The Mamlatdar Office, Goa",Goa,1,15.588,73.8139,EESL Mamlatdar Office Mapusa Goa,403406,free,Goa,0,AC Charger (Slow)
